method,n1,dim_phi,n_seeds,mse_model_mean,mse_model_se,knn_mse_k5_mean,knn_mse_k5_se
TM_negative,0,20,50,3.1313929647457788,0.11907613657301591,5.204983818238991,0.2328346205240421
TM_negative,200,20,50,5.391295667895253,0.2385411533876251,5.204983818238991,0.2328346205240421
TM_negative,500,20,50,5.484595848328878,0.2590404122341501,5.204983818238991,0.2328346205240421
TM_negative,1000,20,50,5.433413286155628,0.2586061884938349,5.204983818238991,0.2328346205240421
TM_positive,0,20,50,2.1814625655482667,0.12302506068365772,3.6624538472344987,0.2012927676932545
TM_positive,200,20,50,1.9554076691199314,0.09634982433471156,3.6624538472344987,0.2012927676932545
TM_positive,500,20,50,1.8354254147455693,0.08588484056042117,3.6624538472344987,0.2012927676932545
TM_positive,1000,20,50,1.7925403777736044,0.08170234088020982,3.6624538472344987,0.2012927676932545
