method,n_size,x_dim,total_time_s
ACEE,1000,10,29.865
CFRNet,1000,10,42.814
GANITE,1000,10,17.416
ACEE,1000,20,29.386
CFRNet,1000,20,42.678
GANITE,1000,20,17.481
ACEE,1000,50,30.244
CFRNet,1000,50,43.013
GANITE,1000,50,17.453
ACEE,1000,100,32.543
CFRNet,1000,100,42.968
GANITE,1000,100,17.518
